Variable_1,Variable_2,FDR,Copies
X16P.HigB_toxin,kfuC,0.000387496946206236,96
X17P.Gp49,kfuC,3.90307154976443e-10,120
X19P.RelE,kfuC,9.7966650738109e-05,25
X22P.PemK_toxin,kfuC,0.000344749142774145,45
X47P.YdaT_toxin,kfuC,0.00441186638169541,37
X63P.Zeta_toxin,kfuC,0.00948911307606137,10
X65P.HD,kfuC,8.84403880276797e-07,18
X168P.Fic,kfuC,0.00523422220686773,8
X17P.Gp49,kfuA,2.59405347629147e-09,120
X19P.RelE,kfuA,3.49190232564553e-06,25
X47P.YdaT_toxin,kfuA,0.00521138883971756,37
X58P.CcdB,kfuA,0.0031589712679328,126
X63P.Zeta_toxin,kfuA,0.00788298008768222,10
X65P.HD,kfuA,4.98323427913275e-06,18
X70P.Gp49,kfuA,3.41305983778031e-10,40
X77P.Gp49,kfuA,9.77291369728704e-10,39
X6P.PIN,pbrA,3.06505097765079e-05,139
X13P.RES,pbrA,1.6123468197922e-09,70
X46P.RES,pbrA,2.73853130552379e-22,26
X92P.RES,pbrA,3.80230489770022e-06,9
X105P.RES,pbrA,2.73853130552379e-22,26
X6P.PIN,pbrR,0.000319325410219358,139
X13P.RES,pbrR,3.76729131902279e-10,70
X46P.RES,pbrR,8.94309180655308e-24,26
X92P.RES,pbrR,5.79060455986423e-08,9
X105P.RES,pbrR,8.94309180655308e-24,26
X6P.PIN,pbrBC,0.00105327567630681,139
X13P.RES,pbrBC,1.86854564640403e-10,70
X46P.RES,pbrBC,9.7925687017153e-21,26
X92P.RES,pbrBC,2.4860995577017e-08,9
X105P.RES,pbrBC,9.7925687017153e-21,26
X28P.YdaT_toxin,mceI,0.00227901100624478,50
X46P.RES,mceI,7.42000053903655e-05,26
X47P.YdaT_toxin,mceI,0.00160869221263308,37
X105P.RES,mceI,7.42000053903655e-05,26
X28P.YdaT_toxin,mceG,0.00227901100624478,50
X46P.RES,mceG,7.42000053903655e-05,26
X47P.YdaT_toxin,mceG,0.00160869221263308,37
X105P.RES,mceG,7.42000053903655e-05,26
X28P.YdaT_toxin,mceJ,0.00227901100624478,50
X46P.RES,mceJ,7.42000053903655e-05,26
X47P.YdaT_toxin,mceJ,0.00160869221263308,37
X105P.RES,mceJ,7.42000053903655e-05,26
X28P.YdaT_toxin,mceH,0.000880168248623586,50
X46P.RES,mceH,0.000508995374830969,26
X47P.YdaT_toxin,mceH,0.000712178304365229,37
X105P.RES,mceH,0.000508995374830969,26
X28P.YdaT_toxin,mceD,0.000596311851102443,50
X46P.RES,mceD,9.03658314608257e-06,26
X47P.YdaT_toxin,mceD,0.000341271299661157,37
X105P.RES,mceD,9.03658314608257e-06,26
X28P.YdaT_toxin,mceC,0.000596311851102443,50
X46P.RES,mceC,9.03658314608257e-06,26
X47P.YdaT_toxin,mceC,0.000341271299661157,37
X105P.RES,mceC,9.03658314608257e-06,26
X28P.YdaT_toxin,mceE,0.000596311851102443,50
X46P.RES,mceE,9.03658314608257e-06,26
X47P.YdaT_toxin,mceE,0.000341271299661157,37
X105P.RES,mceE,9.03658314608257e-06,26
X28P.YdaT_toxin,mceA,0.000596311851102443,50
X46P.RES,mceA,9.03658314608257e-06,26
X47P.YdaT_toxin,mceA,0.000341271299661157,37
X105P.RES,mceA,9.03658314608257e-06,26
X28P.YdaT_toxin,mceB,0.000596311851102443,50
X46P.RES,mceB,9.03658314608257e-06,26
X47P.YdaT_toxin,mceB,0.000341271299661157,37
X105P.RES,mceB,9.03658314608257e-06,26
X6P.PIN,iroN,3.09917809666919e-05,139
X13P.RES,iroN,1.27608215763812e-06,70
X18P.Phage_pRha,iroN,0.00767407200624233,18
X46P.RES,iroN,8.66310600375878e-19,26
X51P.PIN,iroN,0.000217248995516227,10
X92P.RES,iroN,8.84403880276797e-07,9
X105P.RES,iroN,8.66310600375878e-19,26
X6P.PIN,iroD,1.40662105565529e-05,139
X13P.RES,iroD,4.00538729146462e-07,70
X18P.Phage_pRha,iroD,0.00948911307606137,18
X46P.RES,iroD,2.01605310149734e-20,26
X51P.PIN,iroD,0.000267795741447044,10
X92P.RES,iroD,1.19082122466723e-06,9
X105P.RES,iroD,2.01605310149734e-20,26
X6P.PIN,iroB,3.09917809666919e-05,139
X13P.RES,iroB,1.27608215763812e-06,70
X18P.Phage_pRha,iroB,0.00767407200624233,18
X46P.RES,iroB,8.66310600375878e-19,26
X51P.PIN,iroB,0.000217248995516227,10
X92P.RES,iroB,8.84403880276797e-07,9
X105P.RES,iroB,8.66310600375878e-19,26
X6P.PIN,iroC,0.00957989011963914,139
X13P.RES,iroC,9.74335674174848e-12,70
X46P.RES,iroC,8.94309180655308e-24,26
X92P.RES,iroC,5.79060455986423e-08,9
X105P.RES,iroC,8.94309180655308e-24,26
X29P.NTP_transf_2,silE,0.000855293546387781,27
X46P.RES,silE,0.0014136971710659,26
X48P.CcdB,silE,0.000193546393440662,57
X105P.RES,silE,0.0014136971710659,26
X29P.NTP_transf_2,silC,0.0011756613937038,27
X46P.RES,silC,0.0018479769823272,26
X48P.CcdB,silC,0.000328823446748331,57
X105P.RES,silC,0.0018479769823272,26
X29P.NTP_transf_2,silS,0.0073964598830787,27
X46P.RES,silS,0.0014136971710659,26
X48P.CcdB,silS,0.00314726567166214,57
X105P.RES,silS,0.0014136971710659,26
X27P.Gp49,silR,0.00900798077359184,103
X29P.NTP_transf_2,silR,0.00100257945683661,27
X48P.CcdB,silR,0.000250135199212689,57
X13P.RES,terZ,5.31948024629696e-09,70
X46P.RES,terZ,4.21528768283927e-14,26
X92P.RES,terZ,7.40774401702744e-05,9
X105P.RES,terZ,4.21528768283927e-14,26
X154P.HigB.like_toxin,terZ,0.00687273869042822,6
X13P.RES,terD,2.36210005700497e-09,70
X46P.RES,terD,2.97184975824257e-14,26
X92P.RES,terD,6.3354803227151e-05,9
X105P.RES,terD,2.97184975824257e-14,26
X154P.HigB.like_toxin,terD,0.00628961900993125,6
X13P.RES,terE,5.31948024629696e-09,70
X46P.RES,terE,4.21528768283927e-14,26
X92P.RES,terE,7.40774401702744e-05,9
X105P.RES,terE,4.21528768283927e-14,26
X154P.HigB.like_toxin,terE,0.00687273869042822,6
X13P.RES,terW,5.31948024629696e-09,70
X46P.RES,terW,4.21528768283927e-14,26
X92P.RES,terW,7.40774401702744e-05,9
X105P.RES,terW,4.21528768283927e-14,26
X154P.HigB.like_toxin,terW,0.00687273869042822,6
X13P.RES,terB,5.31948024629696e-09,70
X46P.RES,terB,4.21528768283927e-14,26
X92P.RES,terB,7.40774401702744e-05,9
X105P.RES,terB,4.21528768283927e-14,26
X154P.HigB.like_toxin,terB,0.00687273869042822,6
X13P.RES,terA,5.31948024629696e-09,70
X46P.RES,terA,4.21528768283927e-14,26
X92P.RES,terA,7.40774401702744e-05,9
X105P.RES,terA,4.21528768283927e-14,26
X154P.HigB.like_toxin,terA,0.00687273869042822,6
X13P.RES,terC,5.31948024629696e-09,70
X46P.RES,terC,4.21528768283927e-14,26
X92P.RES,terC,7.40774401702744e-05,9
X105P.RES,terC,4.21528768283927e-14,26
X154P.HigB.like_toxin,terC,0.00687273869042822,6
X13P.RES,terX,1.26642051425807e-08,70
X46P.RES,terX,4.72961425782638e-15,26
X92P.RES,terX,3.6058707110331e-05,9
X105P.RES,terX,4.72961425782638e-15,26
X13P.RES,terY,1.26642051425807e-08,70
X46P.RES,terY,4.72961425782638e-15,26
X92P.RES,terY,3.6058707110331e-05,9
X105P.RES,terY,4.72961425782638e-15,26
X46P.RES,gcl,0.000344749142774145,26
X98P.GNAT_acetyltran,gcl,0.00788298008768222,4
X105P.RES,gcl,0.000344749142774145,26
X46P.RES,fdrA,0.000344749142774145,26
X98P.GNAT_acetyltran,fdrA,0.00788298008768222,4
X105P.RES,fdrA,0.000344749142774145,26
X46P.RES,ylbE,0.000344749142774145,26
X98P.GNAT_acetyltran,ylbE,0.00788298008768222,4
X105P.RES,ylbE,0.000344749142774145,26
X46P.RES,KP1_1364,0.000141674965756947,26
X58P.CcdB,KP1_1364,0.00900798077359184,126
X98P.GNAT_acetyltran,KP1_1364,0.00593164711522813,4
X105P.RES,KP1_1364,0.000141674965756947,26
X46P.RES,glxK,0.00186992207440437,26
X98P.GNAT_acetyltran,glxK,0.00687273869042822,4
X105P.RES,glxK,0.00186992207440437,26
X46P.RES,arcC,0.000344749142774145,26
