Variable_1,Variable_2,FDR,Copies
X12H.RES,ybtA,2.91586287412307e-05,26
X12H.RES,ybtT,4.25981648972711e-06,26
X61H.CcdB,Aac3_IIa_AGly.match,1.88065599253978e-07,57
X14H.Gp49,AacAad_AGly_3.match,0.000321131178234609,103
X14H.Gp49,AadA_AGly.match,0.000821357365325129,103
X20H.DUF4111.NTP_transf_2,AadA_AGly.match,1.65282817629249e-18,30
X24H.Gp49,AadA_AGly.match,4.11285138732968e-05,12
X72H.HD_3,AadA_AGly.match,0.000717467043144412,10
X14H.Gp49,AadA_AGly_2.match,0.00138114755488022,103
X20H.DUF4111.NTP_transf_2,AadA_AGly_2.match,8.18389404149249e-17,30
X72H.HD_3,AadA_AGly_2.match,0.00165315381736034,10
X24H.Gp49,AadB_AGly.match,2.34398083694334e-07,12
X71H.DUF955,AadB_AGly.match,0.00502116267168394,8
X72H.HD_3,AadB_AGly.match,4.60965171739036e-05,10
X24H.Gp49,RmtB_AGly.match,2.00260287867971e-08,12
X71H.DUF955,RmtB_AGly.match,0.00159608452357049,8
X72H.HD_3,RmtB_AGly.match,9.95562578953973e-05,10
X7H.Fic,OqxA_Flq.match,2.91884011868506e-08,240
X13H.Gp49,OqxA_Flq.match,0.00587300062051212,156
X21H.PIN,OqxA_Flq.match,7.86414336011715e-11,237
X26H.ParE_toxin,OqxA_Flq.match,1.11189135572279e-07,230
X37H.AntA.Bro.N,OqxA_Flq.match,0.000685372760648112,37
X52H.ParE_toxin,Qnr_A_Flq.match,0.00569791905217962,22
X60H.HipA_C,Qnr_A_Flq.match,0.00159608452357049,8
X14H.Gp49,CatBx_Phe.match,0.00158273920662759,103
X96H.AntA,CatBx_Phe.match,0.00443860003096966,6
X24H.Gp49,CmlA_Phe.match,5.40684129839954e-06,12
X71H.DUF955,CmlA_Phe.match,0.00386549621695341,8
X72H.HD_3,CmlA_Phe.match,0.000760088696631523,10
X24H.Gp49,FloR_Phe.match,1.7545910043568e-09,12
X72H.HD_3,FloR_Phe.match,1.59245663352394e-06,10
X20H.DUF4111.NTP_transf_2,SulIII_Sul.match,0.000245481266115776,30
X20H.DUF4111.NTP_transf_2,SulII_Sul.match,0.000286196728425759,30
X24H.Gp49,SulII_Sul.match,0.000175092509958535,12
X72H.HD_3,SulII_Sul.match,0.00211170370781268,10
X14H.Gp49,SulI_Sul.match,0.00155996726852576,103
X20H.DUF4111.NTP_transf_2,SulI_Sul.match,2.25052500761725e-07,30
X20H.DUF4111.NTP_transf_2,TetA_Tet.match,3.26167724452616e-05,30
X24H.Gp49,TetA_Tet.match,3.70200647139458e-06,12
X72H.HD_3,TetA_Tet.match,0.000110420748876075,10
X24H.Gp49,TetG_Tet.match,1.07420247284429e-11,12
X71H.DUF955,TetG_Tet.match,0.00502116267168394,8
X72H.HD_3,TetG_Tet.match,9.49691545570929e-08,10
X24H.Gp49,TetRG_Tet.match,1.07420247284429e-11,12
X71H.DUF955,TetRG_Tet.match,0.00502116267168394,8
X72H.HD_3,TetRG_Tet.match,9.49691545570929e-08,10
X20H.DUF4111.NTP_transf_2,TetR_Tet.match,4.68888025466158e-05,30
X24H.Gp49,TetR_Tet.match,4.58125585676033e-06,12
X72H.HD_3,TetR_Tet.match,0.000133907706580945,10
X24H.Gp49,Arr_Rif.match,5.40684129839954e-06,12
X44H.ParE_toxin,Arr_Rif.match,0.00502116267168394,19
X71H.DUF955,Arr_Rif.match,0.00386549621695341,8
X72H.HD_3,Arr_Rif.match,0.000760088696631523,10
X24H.Gp49,Dfr23_Tmt.match,2.00260287867971e-08,12
X71H.DUF955,Dfr23_Tmt.match,0.00159608452357049,8
X72H.HD_3,Dfr23_Tmt.match,9.95562578953973e-05,10
X55H.Phage_pRha,DfrA5_Tmt_1.match,0.00140496684675953,14
X4H.PIN,DfrA_Tmt_1.match,0.0076667699305387,139
X14H.Gp49,DfrA_Tmt_1.match,0.00482430942830757,103
