Variable_1,Variable_2,FDR,Copies
X46P_12H_105P,ybtA,4.84329765532306e-05,26
X6P_4H_51P,ybtT,0.00230196585029012,10
X46P_12H_105P,ybtT,7.88683415308172e-06,26
X48P_61H,Aac3_IIa_AGly.match,3.4153422506029e-07,57
X14H_27P,AacAad_AGly_3.match,0.000523143575924876,103
X101P_2H,AacAad_AGly_3.match,0.00105599131993032,11
X14H_27P,AadA_AGly.match,0.00138874238742472,103
X101P_2H,AadA_AGly.match,0.00405835451670233,11
X24H_67P,AadA_AGly.match,6.95889910149014e-05,12
X72H_50P,AadA_AGly.match,0.00115898522354097,10
X40P_20H,AadA_AGly.match,3.77276854014244e-11,21
X14H_27P,AadA_AGly_2.match,0.00224076803825619,103
X72H_50P,AadA_AGly_2.match,0.00264720709315871,10
X40P_20H,AadA_AGly_2.match,1.18977431075104e-15,21
X24H_67P,AadB_AGly.match,4.25249734408756e-07,12
X72H_50P,AadB_AGly.match,7.84527263440475e-05,10
X60P_71H,AadB_AGly.match,0.00752131222912213,8
X24H_67P,RmtB_AGly.match,3.74081717506181e-08,12
X72H_50P,RmtB_AGly.match,0.000160625523409281,10
X60P_71H,RmtB_AGly.match,0.00256192706225429,8
X5P_21H,OqxA_Flq.match,5.91220780258969e-11,235
X26H_1P,OqxA_Flq.match,4.36530580856184e-07,229
X13H_30P,OqxA_Flq.match,0.00886490659699942,156
X3P_7H,OqxA_Flq.match,5.26033377834959e-07,232
X20P_60H,Qnr_A_Flq.match,0.00146276674905935,7
X2P_52H,Qnr_A_Flq.match,0.00864003256822332,22
X14H_27P,CatBx_Phe.match,0.00252974483192642,103
X91P_96H,CatBx_Phe.match,0.00659467212578541,6
X24H_67P,CmlA_Phe.match,9.92840752505408e-06,12
X72H_50P,CmlA_Phe.match,0.00127927505581631,10
X60P_71H,CmlA_Phe.match,0.00569241661920228,8
X24H_67P,FloR_Phe.match,2.80186251008226e-09,12
X72H_50P,FloR_Phe.match,3.03203743022958e-06,10
X40P_20H,SulIII_Sul.match,0.00249687350074233,21
X24H_67P,SulII_Sul.match,0.00028350259205903,12
X72H_50P,SulII_Sul.match,0.0032124854278427,10
X40P_20H,SulII_Sul.match,9.30117213499602e-05,21
X14H_27P,SulI_Sul.match,0.00249687350074233,103
X101P_2H,SulI_Sul.match,0.00062302457486952,11
X40P_20H,SulI_Sul.match,4.4752047148163e-05,21
X24H_67P,TetA_Tet.match,6.82206874368737e-06,12
X72H_50P,TetA_Tet.match,0.000178300170588541,10
X40P_20H,TetA_Tet.match,0.0031786480514623,21
X24H_67P,TetG_Tet.match,1.84687442699544e-11,12
